Year,City,ONS_Code,Trn_Op,AM_Num,AM_PIXC,obsStatus,AM_stand,obsStatus1,PM_Num,obsStatus2,PM_PIXC,obsStatus3,PM_stand,obsStatus4
2012,manchester,E08000003,east-midland-trains,6,0.0,,0.0966827360018967,,6,,0.0,,0.0609494851772511,
2012,manchester,E08000003,first-transpennine-express,37,0.030771984605844,,0.254691914292397,,38,,0.0098900767368985,,0.232444411184682,
2012,manchester,E08000003,northern-rail,115,0.0167323365898419,,0.0774545258271712,,116,,0.0102990691225985,,0.0940285204991087,
2012,manchester,E08000003,virgin-trains,5,0.0,,0.0,,9,,0.0265003780421161,,0.0795011341263484,
2012,manchester,E08000003,total,176,0.0203941282671232,,0.118442900683636,,182,,0.010822658650754,,0.120674194191752,
2012,newcastle,E08000021,crosscountry,7,0.0,,0.004594463371899,,9,,0.0,,0.0,
2012,newcastle,E08000021,east-coast,11,0.0,,0.0,,9,,0.0,,0.0,
2012,newcastle,E08000021,first-transpennine-express,2,,r,,r,3,,0.0,,0.20810943618638,
2012,newcastle,E08000021,northern-rail,13,0.0,,0.0399144689950107,,17,,0.0096153846153846,,0.0638736263736264,
2012,newcastle,E08000021,total,33,0.0,,0.0151123152632352,,38,,0.0026912988566362,,0.0410646837913391,
2012,nottingham,E06000018,crosscountry,5,0.0,,0.0,,6,,0.0,,0.0,
2012,nottingham,E06000018,east-midlands-trains,26,0.0020333517421746,,0.0315817511251611,,31,,0.0,,0.0271273608240208,
2012,nottingham,E06000018,northern-rail,3,0.0,,0.0,,3,,0.0,,0.0,
2012,nottingham,E06000018,total,34,0.0016465596155389,,0.0255741468198099,,40,,0.0,,0.0216443919721207,
2012,sheffield,E08000019,crosscountry,12,0.0779723139654103,,0.0779723139654103,,12,,0.0,,0.0,
2012,sheffield,E08000019,east-midlands-trains,11,0.0,,0.0049236849071496,,12,,0.0045659680985182,,0.0045659680985182,
2012,sheffield,E08000019,first-transpennine-express,5,0.0371395537074532,,0.126326867689831,,6,,0.0922077931489541,,0.220853596097954,
2012,sheffield,E08000019,northern-rail,30,0.0,,0.0609756097560976,,33,,0.0036746692797648,,0.0970112689857913,
2012,sheffield,E08000019,total,58,0.0231910426352861,,0.0631819162583669,,63,,0.0138300082957468,,0.0718249303077462,
2013,birmingham,E08000025,arriva-trains-wales,6,0.0,,0.0227912898684275,,6,,0.0,,0.0214267698103972,
2013,birmingham,E08000025,chiltern-railways-note-2,10,0.0,,0.130516431924883,,8,,0.0,,0.0311004784688995,
2013,birmingham,E08000025,crosscountry,36,0.022574862644965,,0.0895339008943261,,42,,0.039295686775276,,0.0990850752735627,
2013,birmingham,E08000025,london-midland,115,0.0049941245593419,,0.0978628084606346,,118,,0.0028184683849434,,0.0983126274800667,
2013,birmingham,E08000025,virgin-trains,15,0.0,,0.0,,15,,0.0,,0.0132648597955315,
2013,birmingham,E08000025,total,182,0.0071148504523469,,0.089566996017212,,189,,0.0091542305586125,,0.085347620278319,
2013,bristol,E06000023,crosscountry,9,0.0144588833001435,,0.0384869868793933,,10,,0.021104397282607,,0.0337133411774355,
2013,bristol,E06000023,first-great-western,42,0.0119260155925349,,0.0530358101160216,,42,,0.0045538258016462,,0.0854673594854722,
2013,bristol,E06000023,total,51,0.0123527601913051,,0.0505845838968067,,52,,0.0078081201220516,,0.0752911061741137,
